GeneID,Gene,Description,CON,H9,H18
406293,tcp11l2 ,"t-complex 11, testis-specific-like 2",16.72,1.67,0.73
406707,vamp1 ,vesicle-associated membrane protein 1,5.03,0.95,0.53
406789,pank1a ,pantothenate kinase 1a,3.98,0.54,0.15
415107,bves ,blood vessel epicardial substance,25.05,1.19,0.47
415219,rab1bb ,"RAB1B, member RAS oncogene family b",4.22,0.59,0.54
436612,cldn7a ,claudin 7a,1.63,0.30,0.07
436720,myoz1b ,myozenin 1b,89.52,10.24,1.53
436917,notum1b ,notum pectinacetylesterase homolog 1b (Drosophila),7.96,0.72,0.35
436966,zgc:91818 ,zgc:91818,17.89,2.41,0.67
445054,zgc:92113 ,zgc:92113,27.22,2.52,0.97
445104,zgc:91999 ,zgc:91999,12.51,2.65,0.24
445218,boka ,BCL2-related ovarian killer a,2.39,0.51,0.29
445252,hibadha ,3-hydroxyisobutyrate dehydrogenase a,9.61,0.86,0.65
445307,dexi ,Dexi homolog (mouse),8.54,1.00,0.77
445358,obscn ,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF a",27.94,1.41,1.39
445475,fhl5 ,four and a half LIM domains 5,178.76,0.86,3.98
445508,calcrla ,calcitonin receptor-like a,11.91,1.50,0.52
447829,cdc42ep3 ,CDC42 effector protein (Rho GTPase binding) 3,9.31,1.42,0.78
447834,macrod1 ,MACRO domain containing 1,3.10,0.47,0.37
449707,mylk4b ,"myosin light chain kinase family, member 4b",6.91,0.89,0.76
449825,zgc:101560 ,zgc:101560,1.85,0.37,0.27
450043,ank2b ,"ankyrin 2b, neuronal",14.27,1.92,0.67
492517,zgc:103586 ,zgc:103586,1.65,0.73,0.21
493631,crygm3 ,"crystallin, gamma M3",44.62,4.18,1.12
493635,hapln1a ,hyaluronan and proteoglycan link protein 1a,41.73,3.76,0.87
497640,fgf11a ,fibroblast growth factor 11a,2.53,1.11,0.23
503514,angptl2b ,angiopoietin-like 2b,3.70,0.87,0.38
503936,pnpla7b ,patatin-like phospholipase domain containing 7b,6.00,0.54,0.73
541409,zgc:101744 ,zgc:101744,12.71,1.77,0.40
541491,pvrl3b ,poliovirus receptor-related 3b,2.73,0.29,0.35
544658,sema3fa ,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fa",3.55,0.56,0.15
548607,b3gat1a ,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) a",6.68,0.56,0.45
550573,c1qtnf1 ,C1q and tumor necrosis factor related protein 1,4.03,0.83,0.18
550617,crygs3 ,"crystallin, gamma S3",9.44,1.91,0.38
552927,casp6 ,"caspase 6, apoptosis-related cysteine peptidase",2.05,0.79,0.23
552944,lrrc30a ,leucine rich repeat containing 30a,21.94,0.73,1.15
553019,ptprz1b ,"protein tyrosine phosphatase, receptor-type, Z polypeptide 1b",3.67,0.48,0.38
553182,crybb2 ,"crystallin, beta B2",43.15,3.46,0.68
553184,crybb3 ,"crystallin, beta B3",19.97,1.76,1.06
553273,cyr61 ,"cysteine-rich, angiogenic inducer, 61",1.80,0.45,0.20
553343,LOC553343 ,si:ch211-266g18.10,15.66,2.21,0.84
553694,zgc:112242 ,zgc:112242,11.06,1.69,0.87
553966,crygm6 ,"crystallin, gamma M6",19.35,2.22,0.92
553967,crygm7 ,"crystallin, gamma M7",5.51,1.34,0.18
555229,si:dkey-29b22.6 ,"solute carrier family 6, member 16a",7.26,0.77,0.27
555376,btd ,biotinidase,2.72,0.12,0.42
555391,trim3b ,tripartite motif containing 3b,5.43,1.29,0.34
555481,zgc:154142 ,zgc:154142,1.52,0.17,0.08
555567,si:ch211-225p5.8 ,si:ch211-225p5.8,20.52,1.43,0.90
555802,LOC555802 ,nuclear factor of activated T-cells 5-like,3.43,0.61,0.36
555922,kcnab1b ,"potassium voltage-gated channel, shaker-related subfamily, beta member 1 b",6.88,1.14,0.26
556054,LOC556054 ,protein arginine N-methyltransferase 8-B-like,36.39,1.08,0.28
556123,slit1a ,slit homolog 1a (Drosophila),1.22,0.23,0.12
556251,LOC556251 ,contactin-3-like,3.32,1.19,0.21
556341,zgc:136614 ,zgc:136614,22.72,1.47,0.95
556392,strip2 ,striatin interacting protein 2,2.81,0.47,0.12
556445,gls2b ,"glutaminase 2b (liver, mitochondrial)",7.74,1.69,0.47
556489,mybpc3 ,"myosin binding protein C, cardiac",16.20,0.86,0.94
556673,si:dkey-183c16.7 ,si:dkey-183c16.7,2.33,0.41,0.25
556765,dcun1d4 ,"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)",2.38,0.82,0.22
556873,si:ch211-175f11.5 ,si:ch211-175f11.5,17.22,1.66,0.62
557289,lrtm2 ,leucine-rich repeats and transmembrane domains 2a,3.63,0.92,0.33
558051,si:dkey-25f1.2 ,leucine rich repeat neuronal 2,0.94,0.19,0.14
558239,si:ch211-113j14.1 ,si:ch211-113j14.1,6.79,0.84,0.49
558728,pdp1 ,pyruvate dehyrogenase phosphatase catalytic subunit 1,19.36,0.66,0.23
558933,soga3a ,SOGA family member 3a,2.48,0.25,0.33
558958,lamc3 ,"laminin, gamma 3",1.95,0.39,0.20
559133,uts2r ,urotensin 2 receptor,2.41,0.56,0.27
559300,fam78aa ,"family with sequence similarity 78, member Aa",8.33,0.90,0.68
559302,ccdc36 ,coiled-coil domain containing 36,4.64,0.56,0.37
559363,syne2a ,"spectrin repeat containing, nuclear envelope 2a",4.35,0.51,0.52
559614,myom3 ,myomesin 3,4.16,0.14,0.60
559627,slc7a1 ,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1",13.44,1.21,0.74
559693,gabra6b ,"gamma-aminobutyric acid (GABA) A receptor, alpha 6b",6.02,0.35,0.12
559694,klhl30 ,kelch-like family member 30,13.35,1.13,0.82
560010,LOC560010 ,uncharacterized LOC560010,3.74,1.15,0.36
560018,bfsp1 ,"beaded filament structural protein 1, filensin",4.97,0.55,0.27
560020,acss2l ,acyl-CoA synthetase short-chain family member 2 like,15.03,1.54,0.78
560168,coro1b ,"coronin, actin binding protein, 1B",1.59,0.34,0.30
560202,ghrb ,growth hormone receptor b,8.95,0.65,0.53
560368,LOC560368 ,DNA-binding protein RFX7-like,8.31,0.42,0.54
560561,slc8a3 ,"solute carrier family 8 (sodium/calcium exchanger), member 3",5.46,0.54,0.32
560668,phldb2b ,"pleckstrin homology-like domain, family B, member 2b",1.69,0.63,0.12
561295,sema5a ,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",2.14,0.33,0.39
561664,iffo1a ,intermediate filament family orphan 1a,2.96,0.75,0.34
561688,si:dkey-32e6.6 ,si:dkey-32e6.6,3.59,0.68,0.29
561803,gyg2 ,glycogenin 2,4.41,0.70,0.11
561851,LOC561851 ,yippee-like 2b,4.79,0.63,0.54
561976,r3hdml ,R3H domain containing-like,12.61,0.45,1.05
561994,si:ch211-11i5.2 ,centrosomal protein 85,9.12,0.99,0.59
562059,cacna1aa ,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, a",1.10,0.29,0.22
562075,zgc:154046 ,zgc:154046,38.91,2.40,1.69
562136,si:dkey-13n15.2 ,si:dkey-13n15.2,1.34,0.19,0.22
562402,si:dkey-22f5.10 ,"phosphorylase kinase, alpha 1b (muscle)",35.50,2.12,1.51
562602,adipoqa ,"adiponectin, C1Q and collagen domain containing, a",19.89,1.47,0.76
562627,nt5c1a ,"5'-nucleotidase, cytosolic IAa",10.44,3.33,0.58
562782,ano8 ,anoctamin 8b,9.29,0.66,0.37
563298,pparaa ,peroxisome proliferator-activated receptor alpha a,8.21,1.11,0.56
563388,LOC563388 ,si:dkeyp-72e1.9,1.70,0.38,0.23
563679,zgc:136908 ,zgc:136908,21.10,1.41,0.58
563772,trim54 ,tripartite motif containing 54,6.29,0.76,0.38
563843,synpo2la ,synaptopodin 2-like a,13.58,0.55,1.26
563853,mtus1a ,microtubule associated tumor suppressor 1a,3.25,0.32,0.46
564017,tacr1b ,tachykinin receptor 1b,40.15,2.61,1.12
564234,LOC564234 ,ephrin-B3-like,1.86,0.44,0.20
564664,fam117a ,"family with sequence similarity 117, member A",3.00,0.56,0.41
564852,LOC564852 ,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2-like",5.41,0.90,0.49
565014,kcnab2b ,"potassium voltage-gated channel, shaker-related subfamily, beta member 2 b",3.53,0.49,0.33
565108,megf6a ,multiple EGF-like-domains 6a,0.79,0.23,0.15
565718,LOC565718 ,melatonin receptor type 1A-A-like,5.89,0.77,0.18
566023,lrrc7 ,leucine rich repeat containing 7,3.18,0.29,0.30
566069,scn4ba ,"sodium channel, voltage-gated, type IV, beta a",12.28,0.78,0.81
566443,fxyd6l ,FXYD domain containing ion transport regulator 6 like,8.69,0.24,1.03
566542,sgip1 ,SH3-domain GRB2-like (endophilin) interacting protein 1a,1.90,0.25,0.26
566809,prss12 ,"protease, serine, 12 (neurotrypsin, motopsin)",2.46,0.60,0.19
566822,frya ,furry homolog a (Drosophila),17.13,1.71,0.91
566883,LOC566883 ,potassium voltage-gated channel subfamily B member 2-like,1.35,0.25,0.20
566942,si:ch211-171h4.3 ,si:ch211-171h4.3,6.82,0.19,0.32
567181,grm4 ,"glutamate receptor, metabotropic 4",3.30,0.56,0.26
567239,scn4bb ,"sodium channel, voltage-gated, type IV, beta b",8.70,0.30,0.54
567531,zgc:195001 ,zgc:195001,14.82,1.31,0.28
567643,kif26aa ,kinesin family member 26Aa,0.68,0.16,0.12
567935,lrrc38 ,leucine rich repeat containing 38a,1.22,0.29,0.06
568021,tp53inp1 ,tumor protein p53 inducible nuclear protein 1,11.14,1.00,0.84
568055,ppp1r14c ,"protein phosphatase 1, regulatory (inhibitor) subunit 14C",4.40,0.81,0.52
568316,prkag2b ,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit b",3.16,0.40,0.50
568322,rnf207b ,ring finger protein 207b,25.35,1.38,1.50
568419,mettl11b ,methyltransferase like 11B,25.64,3.06,1.17
568614,adra1d ,adrenoceptor alpha 1D,2.21,0.67,0.25
568668,ntrk3a ,"neurotrophic tyrosine kinase, receptor, type 3a",3.26,0.31,0.29
568973,LOC568973 ,nocturnin-like,6.44,0.62,0.45
569303,si:dkey-98j1.5 ,si:dkey-98j1.5,16.66,2.09,0.92
569498,kcnj6 ,"potassium inwardly-rectifying channel, subfamily J, member 6",1.38,0.20,0.14
569643,zgc:114045 ,zgc:114045,4.65,0.57,0.10
569773,LOC569773 ,zinc finger and BTB domain-containing protein 16-A-like,6.66,0.69,0.41
569854,LOC569854 ,leucine-rich repeat-containing protein 14-like,5.07,0.56,0.56
569976,tacc2 ,"transforming, acidic coiled-coil containing protein 2",6.76,1.01,0.61
570456,rsad2 ,radical S-adenosyl methionine domain containing 2,2.30,0.28,0.14
570492,LOC570492 ,kelch-like protein 31,21.48,2.30,1.06
570571,LOC570571 ,epoxide hydrolase 4-like,13.59,1.71,0.52
570693,kctd20 ,potassium channel tetramerization domain containing 20,5.61,0.66,0.23
570761,prkag2a ,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit a",5.77,0.83,0.65
571137,si:ch211-126j24.1 ,si:ch211-126j24.1,2.51,0.62,0.31
571352,dapk2a ,death-associated protein kinase 2a,6.41,1.93,0.56
571377,si:ch211-197g15.7 ,si:ch211-197g15.7,3.51,0.89,0.34
571695,mypn ,myopalladin,5.25,0.30,0.40
571770,gpr144 ,adhesion G protein-coupled receptor D2,1.61,0.60,0.24
571843,frmpd2 ,FERM and PDZ domain containing 2,3.80,0.73,0.40
571995,ccdc92 ,coiled-coil domain containing 92,3.90,0.44,0.53
572074,prkaa2 ,"protein kinase, AMP-activated, alpha 2 catalytic subunit",29.59,1.89,0.99
572147,mn1a ,meningioma 1a,3.63,1.23,0.36
572713,tbx18 ,T-box 18,9.04,0.72,0.58
574004,myl4 ,"myosin, light chain 4, alkali; atrial, embryonic",10.66,0.65,0.55
606585,obsl1b ,obscurin-like 1b,18.52,0.89,1.17
654826,il15 ,interleukin 15,5.27,1.81,0.42
654829,lgi1b ,"leucine-rich, glioma inactivated 1b",3.35,0.60,0.35
664687,kcnj11 ,"potassium inwardly-rectifying channel, subfamily J, member 11",24.75,1.15,1.00
678541,zgc:136861 ,zgc:136861,8.43,0.60,0.26
724011,fam102ba ,"family with sequence similarity 102, member B, a",14.18,0.11,0.52
751715,adipoqb ,"adiponectin, C1Q and collagen domain containing, b",47.82,3.82,1.61
751749,fgf12b ,fibroblast growth factor 12b,17.83,1.55,0.26
768174,zgc:153049 ,zgc:153049,9.29,1.07,0.33
791149,rd3 ,retinal degeneration 3,2.96,0.55,0.41
792104,xkr6 ,"XK, Kell blood group complex subunit-related family, member 6b",1.00,0.24,0.05
792224,hhatlb ,"hedgehog acyltransferase-like, b",28.38,2.83,0.46
792417,LOC792417 ,attractin-like protein 1,3.94,0.63,0.53
793335,susd2 ,sushi domain containing 2,6.25,0.66,0.42
793666,popdc2 ,popeye domain containing 2,5.89,0.45,0.44
793849,bco2b ,beta-carotene oxygenase 2b,3.35,0.36,0.50
794083,pdk2a ,"pyruvate dehydrogenase kinase, isozyme 2a",14.29,1.98,0.98
794176,igfbp2a ,insulin-like growth factor binding protein 2a,12.29,1.00,0.23
794315,and1 ,actinodin1,10.36,1.12,0.49
794932,dtna ,"dystrobrevin, alpha",17.34,0.76,0.20
795702,si:ch211-23l10.2 ,si:ch211-23l10.2,4.10,0.55,0.37
796610,zgc:171482 ,zgc:171482,5.51,0.66,0.44
798369,mamdc2b ,MAM domain containing 2b,11.33,2.37,0.32
799882,LOC799882 ,leucine-rich repeat-containing protein 38-like,26.61,1.17,0.68
799937,dio1 ,"deiodinase, iodothyronine, type I",2.51,0.10,0.42
100000079,soul5 ,heme-binding protein soul5,12.18,2.96,0.73
100000342,mapta ,microtubule-associated protein tau a,3.38,0.43,0.53
100000814,uo:ion006 ,uo:ion006,18.16,1.55,1.10
100001116,si:ch211-236c15.2 ,fibrinogen-like 2b,6.60,0.84,0.56
100001408,apcdd1l ,adenomatosis polyposis coli down-regulated 1-like,2.59,0.32,0.11
100002200,barx2 ,BARX homeobox 2,9.09,1.61,0.66
100002364,parp6b ,"poly (ADP-ribose) polymerase family, member 6b",3.81,0.52,0.44
100002445,unc5db ,unc-5 netrin receptor Db,5.38,0.54,0.30
100003100,sbk3 ,"SH3 domain binding kinase family, member 3",3.69,0.34,0.40
100003245,nat16 ,"N-acetyltransferase 16 (GCN5-related, putative)",3.05,0.55,0.20
100004116,fsta ,follistatin a,7.77,0.91,0.43
100004160,LOC100004160 ,potassium voltage-gated channel subfamily A member 1-like,3.56,1.01,0.30
100004455,epo ,erythropoietin,4.72,0.71,0.14
100004856,si:ch211-137i24.12 ,si:ch211-137i24.12,10.70,1.25,0.26
100005295,chrnb1l ,"cholinergic receptor, nicotinic, beta 1 (muscle) like",5.61,1.31,0.29
100005373,greb1l ,growth regulation by estrogen in breast cancer-like,1.60,0.31,0.20
100006088,sobpb ,sine oculis binding protein homolog (Drosophila) b,2.46,0.84,0.33
100006303,gls2a ,"glutaminase 2a (liver, mitochondrial)",6.63,0.93,0.11
100034635,sync ,"syncoilin, intermediate filament protein",14.29,0.86,0.80
100037315,adrb2b ,"adrenoceptor beta 2, surface b",1.41,0.44,0.15
100141490,nfasca ,neurofascin homolog (chicken) a,2.69,0.54,0.10
100144772,cubn ,cubilin (intrinsic factor-cobalamin receptor),0.58,0.05,0.07
100148604,si:ch73-182a11.1 ,fizzy/cell division cycle 20 related 1b,2.17,0.47,0.25
100148802,myoz3a ,myozenin 3a,9.98,1.86,0.25
100148904,si:dkey-65j6.2 ,si:dkey-65j6.2,2.24,0.14,0.21
100149844,fgf11b ,fibroblast growth factor 11b,1.16,0.26,0.16
100150054,cyp1b1 ,"cytochrome P450, family 1, subfamily B, polypeptide 1",16.34,1.05,0.78
100170795,prkab2 ,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",12.67,1.79,0.85
100320415,si:ch211-246m6.5 ,si:ch211-246m6.5,5.19,0.34,0.49
100322075,adm2b ,adrenomedullin 2b,2.60,0.86,0.26
100329743,LOC100329743 ,"glutamate receptor ionotropic, NMDA 2C-like",0.53,0.13,0.06
100329862,LOC100329862 ,myotilin-like,18.00,0.59,0.87
100329944,LOC100329944 ,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1-like,4.82,0.46,0.42
100330371,sorcs2 ,sortilin-related VPS10 domain containing receptor 2,1.66,0.67,0.23
100330508,esyt2 ,extended synaptotagmin-like protein 2,6.41,0.83,0.47
100331256,frmd3 ,FERM domain containing 3,18.98,0.86,1.02
100331748,LOC100331748 ,uncharacterized LOC100331748,2.36,0.53,0.37
100332010,LOC100332010 ,uncharacterized LOC100332010,0.93,0.09,0.16
100332066,LOC100332066 ,"protein phosphatase 1, regulatory subunit 27a",44.40,2.07,0.80
100332111,shc3 ,SHC (Src homology 2 domain containing) transforming protein 3,1.00,0.17,0.08
100332130,sln ,sarcolipin,51.18,5.40,1.13
100332418,LOC100332418 ,cadherin-7-like,1.36,0.15,0.22
100332703,slc37a4 ,"solute carrier family 37 (glucose-6-phosphate transporter), member 4",6.65,1.03,0.29
100332904,LOC100332904 ,uncharacterized LOC100332904,2.65,0.67,0.33
100333101,grin3b ,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3Bb",1.13,0.21,0.16
100333323,sema4d ,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D",3.29,0.42,0.29
100333916,LOC100333916 ,myomegalin,21.30,1.38,0.66
100334415,grb14 ,growth factor receptor-bound protein 14,6.20,0.94,0.53
100334881,LOC100334881 ,stromal interaction molecule 2,3.04,0.49,0.39
100534721,csmd1 ,CUB and Sushi multiple domains 1,1.06,0.30,0.15
100534919,peli1a ,pellino E3 ubiquitin protein ligase 1a,4.16,0.43,0.19
100534944,adamtsl3 ,ADAMTS-like 3,6.67,1.08,0.53
100535636,LOC100535636 ,protein shisa-9-like,0.56,0.34,0.08
100535760,LOC100535760 ,uncharacterized LOC100535760,0.76,0.05,0.18
100536838,zbtb47 ,zinc finger and BTB domain containing 47,1.70,0.19,0.35
100536841,agbl1 ,ATP/GTP binding protein-like 1,31.36,1.47,1.56
100537021,shisa2 ,shisa family member 2,20.82,1.19,1.13
100537438,LOC100537438 ,si:ch73-364h19.2,3.49,0.46,0.30
100537787,ca12 ,carbonic anhydrase XII,7.51,0.19,0.49
100537991,LOC100537991 ,"proline dehydrogenase 1, mitochondrial-like",6.91,1.81,0.21
101882419,urgcp ,upregulator of cell proliferation,2.06,0.41,0.12
101882431,rnf215 ,ring finger protein 215,2.78,0.89,0.36
101882554,LOC101882554 ,RNA-binding protein 10-like,1.79,0.43,0.31
101882652,LOC101882652 ,uncharacterized LOC101882652,3.35,0.08,0.19
101883291,LOC101883291 ,si:ch211-266g18.9,6.26,0.86,0.52
101883329,si:dkey-206p8.1 ,si:dkey-206p8.1,4.41,0.88,0.31
101883817,LOC101883817 ,uncharacterized LOC101883817,1.40,0.14,0.15
101884149,abi3bp ,"ABI family, member 3 (NESH) binding protein",3.10,0.62,0.22
101884238,LOC101884238 ,probable G-protein coupled receptor 144,2.06,0.29,0.32
101884346,c13h10orf71 ,"chromosome 13 open reading frame, human C10orf71",6.49,0.17,0.33
101884357,LOC101884357 ,collagen alpha-1(XX) chain-like,2.04,0.41,0.35
101884664,LOC101884664 ,si:ch1073-398f15.1,0.71,0.28,0.10
101886020,prob1 ,proline-rich basic protein 1,0.95,0.13,0.09
101886605,adamtsl5 ,ADAMTS-like 5,1.34,0.17,0.26
101886993,LOC101886993 ,RIMS-binding protein 2-like,0.98,0.18,0.19
101887101,LOC101887101 ,cystatin-B-like,1.40,0.31,0.18
101887154,si:ch211-141o18.1 ,transmembrane protein 182b,14.00,0.93,0.42
103909155,LOC103909155 ,uncharacterized LOC103909155,3.14,0.39,0.14
103910191,LOC103910191 ,uncharacterized LOC103910191,2.04,0.62,0.25
103910352,LOC103910352 ,uncharacterized LOC103910352,47.35,2.16,0.79
103910399,LOC103910399 ,uncharacterized LOC103910399,2.67,1.28,0.19
103910451,LOC103910451 ,uncharacterized LOC103910451,11.23,1.87,0.59
103910966,LOC103910966 ,uncharacterized LOC103910966,0.61,0.10,0.05
103911556,LOC103911556 ,uncharacterized LOC103911556,0.53,0.08,0.06
30100,ube2kb ,"ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast)",1.98,6.73,5.65
30248,calr ,calreticulin 3a,12.79,32.97,57.27
30396,ef1 ,E74-like factor 1 (ets domain transcription factor),3.10,9.07,7.48
30617,urod ,uroporphyrinogen decarboxylase,2.33,4.73,6.43
30634,nadl1.2 ,neural adhesion molecule L1.2,1.30,3.39,3.23
30699,clns1a ,"chloride channel, nucleotide-sensitive, 1A",1.87,5.32,6.52
57970,copz1 ,"coatomer protein complex, subunit zeta 1",5.23,15.20,26.47
58026,psen2 ,presenilin 2,3.50,7.09,12.86
58110,gabpa ,"GA binding protein transcription factor, alpha subunit",2.35,5.21,5.39
64274,csf1ra ,"colony stimulating factor 1 receptor, a",9.66,34.93,35.53
65225,ctsd ,cathepsin D,31.15,136.98,470.08
80939,papss2b ,3'-phosphoadenosine 5'-phosphosulfate synthase 2b,2.28,6.85,5.98
114426,odc1 ,ornithine decarboxylase 1,7.20,40.76,29.55
114428,arf1 ,ADP-ribosylation factor 1,2.48,6.15,5.76
114454,copb2 ,"coatomer protein complex, subunit beta 2",7.90,22.33,33.75
114456,arpc4 ,"actin related protein 2/3 complex, subunit 4",6.21,29.07,26.47
114834,tfe3a ,transcription factor binding to IGHM enhancer 3a,3.18,8.53,8.19
116713,aldh1a2 ,"aldehyde dehydrogenase 1 family, member A2",5.86,18.00,37.09
192305,adssl ,"adenylosuccinate synthase, like",3.56,15.58,14.95
192311,srrt ,serrate RNA effector molecule homolog (Arabidopsis),1.70,6.25,8.68
192313,actl6a ,actin-like 6A,2.15,7.11,6.81
192335,atp6v1e1b ,"ATPase, H+ transporting, lysosomal, V1 subunit E1b",5.94,32.74,47.72
192336,atp6v0ca ,"ATPase, H+ transporting, lysosomal, V0 subunit ca",9.14,73.72,79.69
195815,lmna ,lamin A,4.87,14.91,14.77
195816,lmnb1 ,lamin B1,2.90,4.71,6.97
266757,tram1 ,translocation associated membrane protein 1,3.62,15.11,14.09
266982,arcn1a ,archain 1a,3.05,9.27,9.30
282615,smarca5 ,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",3.53,13.17,11.56
282673,npc2 ,"Niemann-Pick disease, type C2",10.34,34.09,80.67
282676,hspd1 ,heat shock 60 protein 1,9.57,47.67,39.67
286779,atp6v1h ,"ATPase, H+ transporting, lysosomal V1 subunit H",5.51,24.94,39.84
286787,diexf ,digestive organ expansion factor homolog,1.61,5.34,4.50
317639,tsr2 ,"TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)",2.33,7.12,6.89
317678,ruvbl2 ,RuvB-like AAA ATPase 2,2.33,7.45,8.87
317679,ruvbl1 ,RuvB-like AAA ATPase 1,2.38,9.33,8.53
317741,coro1ca ,"coronin, actin binding protein, 1Ca",5.82,18.77,22.27
317746,suclg2 ,"succinate-CoA ligase, GDP-forming, beta subunit",2.62,5.79,8.17
321058,wdr3 ,WD repeat domain 3,2.35,11.17,9.58
321114,nhp2l1b ,"SNU13 homolog, small nuclear ribonucleoprotein b (U4/U6.U5)",7.97,37.44,27.14
321294,cpox ,coproporphyrinogen oxidase,2.51,7.48,8.46
321315,calr3b ,calreticulin 3b,7.28,29.85,41.61
321453,ctsla ,cathepsin La,33.81,208.76,294.77
321466,hnrnpaba ,heterogeneous nuclear ribonucleoprotein A/Ba,8.32,22.66,26.24
321544,prp19 ,PRP19/PSO4 homolog (S. cerevisiae),4.24,12.45,14.39
321556,hnrnph1l ,"heterogeneous nuclear ribonucleoprotein H1, like",3.87,10.74,12.80
321590,sept8a ,septin 8a,2.62,4.76,8.31
321744,nup88 ,nucleoporin 88,1.32,4.52,3.81
321818,ctsa ,cathepsin A,10.02,23.76,35.30
321868,ilf3b ,interleukin enhancer binding factor 3b,7.34,23.85,21.85
321994,nono ,"non-POU domain containing, octamer-binding",3.22,13.31,13.90
322000,anp32b ,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",4.74,15.02,22.53
322007,usp1 ,ubiquitin specific peptidase 1,1.16,2.54,3.08
322008,kctd5a ,potassium channel tetramerization domain containing 5a,3.80,10.34,10.69
322055,cth ,cystathionase (cystathionine gamma-lyase),1.19,4.43,3.73
322129,rbb4l ,"retinoblastoma binding protein 4, like",3.46,11.44,10.84
322160,pdip5 ,"protein disulfide isomerase family A, member 6",11.66,37.09,46.46
